english 	braille
The dog is dying.	⠠⠮⠀⠙⠕⠛⠀⠊⠎⠀⠙⠽⠊⠝⠛⠲
The dog is dying.	⠠⠮⠀⠙⠕⠛⠀⠊⠎⠀⠙⠽⠊⠝⠛⠲
The dog is smart.	⠠⠮⠀⠙⠕⠛⠀⠊⠎⠀⠎⠍⠜⠞⠲
The dog is white.	⠠⠮⠀⠙⠕⠛⠀⠊⠎⠀⠱⠊⠞⠑⠲
The dog was dead.	⠠⠮⠀⠙⠕⠛⠀⠺⠁⠎⠀⠙⠑⠁⠙⠲
The door creaked.	⠠⠮⠀⠙⠕⠕⠗⠀⠉⠗⠑⠁⠅⠫⠲
The door is open.	⠠⠮⠀⠙⠕⠕⠗⠀⠊⠎⠀⠕⠏⠑⠝⠲
The food is cold.	⠠⠮⠀⠋⠕⠕⠙⠀⠊⠎⠀⠉⠕⠇⠙⠲
The food is good.	⠠⠮⠀⠋⠕⠕⠙⠀⠊⠎⠀⠛⠕⠕⠙⠲
The game is over.	⠠⠮⠀⠛⠁⠍⠑⠀⠊⠎⠀⠕⠧⠻⠲
The game is over.	⠠⠮⠀⠛⠁⠍⠑⠀⠊⠎⠀⠕⠧⠻⠲
The game is over.	⠠⠮⠀⠛⠁⠍⠑⠀⠊⠎⠀⠕⠧⠻⠲
The game is over.	⠠⠮⠀⠛⠁⠍⠑⠀⠊⠎⠀⠕⠧⠻⠲
The game is over.	⠠⠮⠀⠛⠁⠍⠑⠀⠊⠎⠀⠕⠧⠻⠲
The hat is yours.	⠠⠮⠀⠓⠁⠞⠀⠊⠎⠀⠽⠳⠗⠎⠲
The jury is hung.	⠠⠮⠀⠚⠥⠗⠽⠀⠊⠎⠀⠓⠥⠝⠛⠲
The kid got hurt.	⠠⠮⠀⠅⠊⠙⠀⠛⠕⠞⠀⠓⠥⠗⠞⠲
The law is clear.	⠠⠮⠀⠇⠁⠺⠀⠊⠎⠀⠉⠇⠑⠜⠲
The light is out.	⠠⠮⠀⠇⠊⠣⠞⠀⠊⠎⠀⠳⠞⠲
The light is out.	⠠⠮⠀⠇⠊⠣⠞⠀⠊⠎⠀⠳⠞⠲
The line is busy.	⠠⠮⠀⠇⠊⠝⠑⠀⠊⠎⠀⠃⠥⠎⠽⠲
The man is right.	⠠⠮⠀⠍⠁⠝⠀⠊⠎⠀⠗⠊⠣⠞⠲
The man is right.	⠠⠮⠀⠍⠁⠝⠀⠊⠎⠀⠗⠊⠣⠞⠲
The man ran away.	⠠⠮⠀⠍⠁⠝⠀⠗⠁⠝⠀⠁⠺⠁⠽⠲
The man stood up.	⠠⠮⠀⠍⠁⠝⠀⠌⠕⠕⠙⠀⠥⠏⠲
The mic is yours.	⠠⠮⠀⠍⠊⠉⠀⠊⠎⠀⠽⠳⠗⠎⠲
The milkman died.	⠠⠮⠀⠍⠊⠇⠅⠍⠁⠝⠀⠙⠊⠫⠲
The party's over.	⠠⠮⠀⠏⠜⠞⠽⠄⠎⠀⠕⠧⠻⠲
The pool is full.	⠠⠮⠀⠏⠕⠕⠇⠀⠊⠎⠀⠋⠥⠇⠇⠲
The race is over.	⠠⠮⠀⠗⠁⠉⠑⠀⠊⠎⠀⠕⠧⠻⠲
The rain stopped.	⠠⠮⠀⠗⠁⠊⠝⠀⠌⠕⠏⠏⠫⠲
The rain stopped.	⠠⠮⠀⠗⠁⠊⠝⠀⠌⠕⠏⠏⠫⠲
The rain stopped.	⠠⠮⠀⠗⠁⠊⠝⠀⠌⠕⠏⠏⠫⠲
The road was icy.	⠠⠮⠀⠗⠕⠁⠙⠀⠺⠁⠎⠀⠊⠉⠽⠲
The room is dark.	⠠⠮⠀⠗⠕⠕⠍⠀⠊⠎⠀⠙⠜⠅⠲
The room was hot.	⠠⠮⠀⠗⠕⠕⠍⠀⠺⠁⠎⠀⠓⠕⠞⠲
The room was hot.	⠠⠮⠀⠗⠕⠕⠍⠀⠺⠁⠎⠀⠓⠕⠞⠲
The show is over.	⠠⠮⠀⠩⠪⠀⠊⠎⠀⠕⠧⠻⠲
The show is over.	⠠⠮⠀⠩⠪⠀⠊⠎⠀⠕⠧⠻⠲
The sky is clear.	⠠⠮⠀⠎⠅⠽⠀⠊⠎⠀⠉⠇⠑⠜⠲
The sky was gray.	⠠⠮⠀⠎⠅⠽⠀⠺⠁⠎⠀⠛⠗⠁⠽⠲
The storm abated.	⠠⠮⠀⠌⠕⠗⠍⠀⠁⠃⠁⠞⠫⠲
The storm let up.	⠠⠮⠀⠌⠕⠗⠍⠀⠇⠑⠞⠀⠥⠏⠲
The tank is full.	⠠⠮⠀⠞⠁⠝⠅⠀⠊⠎⠀⠋⠥⠇⠇⠲
The towel is dry.	⠠⠮⠀⠞⠪⠑⠇⠀⠊⠎⠀⠙⠗⠽⠲
The towel is wet.	⠠⠮⠀⠞⠪⠑⠇⠀⠊⠎⠀⠺⠑⠞⠲
The twins helped.	⠠⠮⠀⠞⠺⠊⠝⠎⠀⠓⠑⠇⠏⠫⠲
The twins smiled.	⠠⠮⠀⠞⠺⠊⠝⠎⠀⠎⠍⠊⠇⠫⠲
The two chuckled.	⠠⠮⠀⠞⠺⠕⠀⠡⠥⠉⠅⠇⠫⠲
The water's cold.	⠠⠮⠀⠺⠁⠞⠻⠄⠎⠀⠉⠕⠇⠙⠲
The week is over.	⠠⠮⠀⠺⠑⠑⠅⠀⠊⠎⠀⠕⠧⠻⠲
The week is over.	⠠⠮⠀⠺⠑⠑⠅⠀⠊⠎⠀⠕⠧⠻⠲
The well ran dry.	⠠⠮⠀⠺⠑⠇⠇⠀⠗⠁⠝⠀⠙⠗⠽⠲
The whistle blew.	⠠⠮⠀⠱⠊⠌⠇⠑⠀⠃⠇⠑⠺⠲
The woman is fat.	⠠⠮⠀⠺⠕⠍⠁⠝⠀⠊⠎⠀⠋⠁⠞⠲
The woman is fat.	⠠⠮⠀⠺⠕⠍⠁⠝⠀⠊⠎⠀⠋⠁⠞⠲
The work is done.	⠠⠮⠀⠺⠕⠗⠅⠀⠊⠎⠀⠙⠕⠝⠑⠲
The wound healed.	⠠⠮⠀⠺⠳⠝⠙⠀⠓⠑⠁⠇⠫⠲
There is no hope.	⠠⠮⠗⠑⠀⠊⠎⠀⠝⠕⠀⠓⠕⠏⠑⠲
There is one way.	⠠⠮⠗⠑⠀⠊⠎⠀⠕⠝⠑⠀⠺⠁⠽⠲
There's no doubt.	⠠⠮⠗⠑⠄⠎⠀⠝⠕⠀⠙⠳⠃⠞⠲
There's no hurry.	⠠⠮⠗⠑⠄⠎⠀⠝⠕⠀⠓⠥⠗⠗⠽⠲
There's no hurry.	⠠⠮⠗⠑⠄⠎⠀⠝⠕⠀⠓⠥⠗⠗⠽⠲
There's no limit.	⠠⠮⠗⠑⠄⠎⠀⠝⠕⠀⠇⠊⠍⠊⠞⠲
There's no water.	⠠⠮⠗⠑⠄⠎⠀⠝⠕⠀⠺⠁⠞⠻⠲
There's one more.	⠠⠮⠗⠑⠄⠎⠀⠕⠝⠑⠀⠍⠕⠗⠑⠲
There's one more.	⠠⠮⠗⠑⠄⠎⠀⠕⠝⠑⠀⠍⠕⠗⠑⠲
There's the bell.	⠠⠮⠗⠑⠄⠎⠀⠮⠀⠃⠑⠇⠇⠲
These are daises.	⠠⠮⠎⠑⠀⠜⠑⠀⠙⠁⠊⠎⠑⠎⠲
These are daises.	⠠⠮⠎⠑⠀⠜⠑⠀⠙⠁⠊⠎⠑⠎⠲
These are my CDs.	⠠⠮⠎⠑⠀⠜⠑⠀⠍⠽⠀⠠⠠⠉⠙⠠⠄⠎⠲
These shoes hurt.	⠠⠮⠎⠑⠀⠩⠕⠑⠎⠀⠓⠥⠗⠞⠲
They all entered.	⠠⠮⠽⠀⠁⠇⠇⠀⠑⠝⠞⠻⠫⠲
They all watched.	⠠⠮⠽⠀⠁⠇⠇⠀⠺⠁⠞⠡⠫⠲
They all watched.	⠠⠮⠽⠀⠁⠇⠇⠀⠺⠁⠞⠡⠫⠲
They all watched.	⠠⠮⠽⠀⠁⠇⠇⠀⠺⠁⠞⠡⠫⠲
They are Russian.	⠠⠮⠽⠀⠜⠑⠀⠠⠗⠥⠎⠎⠊⠁⠝⠲
They are Russian.	⠠⠮⠽⠀⠜⠑⠀⠠⠗⠥⠎⠎⠊⠁⠝⠲
They are singers.	⠠⠮⠽⠀⠜⠑⠀⠎⠊⠝⠛⠻⠎⠲
They aren't here.	⠠⠮⠽⠀⠜⠑⠝⠄⠞⠀⠓⠻⠑⠲
They aren't mine.	⠠⠮⠽⠀⠜⠑⠝⠄⠞⠀⠍⠊⠝⠑⠲
They demoted you.	⠠⠮⠽⠀⠙⠑⠍⠕⠞⠫⠀⠽⠳⠲
They demoted you.	⠠⠮⠽⠀⠙⠑⠍⠕⠞⠫⠀⠽⠳⠲
They deserved it.	⠠⠮⠽⠀⠙⠑⠎⠻⠧⠫⠀⠊⠞⠲
They despise you.	⠠⠮⠽⠀⠙⠑⠎⠏⠊⠎⠑⠀⠽⠳⠲
They disappeared.	⠠⠮⠽⠀⠙⠊⠎⠁⠏⠏⠑⠜⠫⠲
They drink a lot.	⠠⠮⠽⠀⠙⠗⠊⠝⠅⠀⠁⠀⠇⠕⠞⠲
They dug a grave.	⠠⠮⠽⠀⠙⠥⠛⠀⠁⠀⠛⠗⠁⠧⠑⠲
They feel hungry.	⠠⠮⠽⠀⠋⠑⠑⠇⠀⠓⠥⠝⠛⠗⠽⠲
They feel hungry.	⠠⠮⠽⠀⠋⠑⠑⠇⠀⠓⠥⠝⠛⠗⠽⠲
They go shopping.	⠠⠮⠽⠀⠛⠕⠀⠩⠕⠏⠏⠊⠝⠛⠲
They got married.	⠠⠮⠽⠀⠛⠕⠞⠀⠍⠜⠗⠊⠫⠲
They had no food.	⠠⠮⠽⠀⠓⠁⠙⠀⠝⠕⠀⠋⠕⠕⠙⠲
They know better.	⠠⠮⠽⠀⠅⠝⠪⠀⠃⠑⠞⠞⠻⠲
They know better.	⠠⠮⠽⠀⠅⠝⠪⠀⠃⠑⠞⠞⠻⠲
They lied to you.	⠠⠮⠽⠀⠇⠊⠫⠀⠞⠕⠀⠽⠳⠲
They live nearby.	⠠⠮⠽⠀⠇⠊⠧⠑⠀⠝⠑⠜⠃⠽⠲
They made us pay.	⠠⠮⠽⠀⠍⠁⠙⠑⠀⠥⠎⠀⠏⠁⠽⠲
They thanked God.	⠠⠮⠽⠀⠹⠁⠝⠅⠫⠀⠠⠛⠕⠙⠲
They trusted Tom.	⠠⠮⠽⠀⠞⠗⠥⠌⠫⠀⠠⠞⠕⠍⠲
They trusted Tom.	⠠⠮⠽⠀⠞⠗⠥⠌⠫⠀⠠⠞⠕⠍⠲
They trusted you.	⠠⠮⠽⠀⠞⠗⠥⠌⠫⠀⠽⠳⠲
They were afraid.	⠠⠮⠽⠀⠺⠻⠑⠀⠁⠋⠗⠁⠊⠙⠲
They were afraid.	⠠⠮⠽⠀⠺⠻⠑⠀⠁⠋⠗⠁⠊⠙⠲
They were closed.	⠠⠮⠽⠀⠺⠻⠑⠀⠉⠇⠕⠎⠫⠲
They were hungry.	⠠⠮⠽⠀⠺⠻⠑⠀⠓⠥⠝⠛⠗⠽⠲
They will return.	⠠⠮⠽⠀⠺⠊⠇⠇⠀⠗⠑⠞⠥⠗⠝⠲
They won't budge.	⠠⠮⠽⠀⠺⠕⠝⠄⠞⠀⠃⠥⠙⠛⠑⠲
They work for me.	⠠⠮⠽⠀⠺⠕⠗⠅⠀⠿⠀⠍⠑⠲
They work for me.	⠠⠮⠽⠀⠺⠕⠗⠅⠀⠿⠀⠍⠑⠲
They'd like that.	⠠⠮⠽⠄⠙⠀⠇⠊⠅⠑⠀⠹⠁⠞⠲
They'll find Tom.	⠠⠮⠽⠄⠇⠇⠀⠋⠊⠝⠙⠀⠠⠞⠕⠍⠲
They'll remember.	⠠⠮⠽⠄⠇⠇⠀⠗⠑⠍⠑⠍⠃⠻⠲
They're all dead.	⠠⠮⠽⠄⠗⠑⠀⠁⠇⠇⠀⠙⠑⠁⠙⠲
They're brothers.	⠠⠮⠽⠄⠗⠑⠀⠃⠗⠕⠮⠗⠎⠲
They're fighting.	⠠⠮⠽⠄⠗⠑⠀⠋⠊⠣⠞⠊⠝⠛⠲
They're immature.	⠠⠮⠽⠄⠗⠑⠀⠊⠍⠍⠁⠞⠥⠗⠑⠲
They're involved.	⠠⠮⠽⠄⠗⠑⠀⠊⠝⠧⠕⠇⠧⠫⠲
They're laughing.	⠠⠮⠽⠄⠗⠑⠀⠇⠁⠥⠣⠊⠝⠛⠲
They're mistaken.	⠠⠮⠽⠄⠗⠑⠀⠍⠊⠌⠁⠅⠑⠝⠲
They're not mine.	⠠⠮⠽⠄⠗⠑⠀⠝⠕⠞⠀⠍⠊⠝⠑⠲
They're not mine.	⠠⠮⠽⠄⠗⠑⠀⠝⠕⠞⠀⠍⠊⠝⠑⠲
They're students.	⠠⠮⠽⠄⠗⠑⠀⠌⠥⠙⠑⠝⠞⠎⠲
They're traitors.	⠠⠮⠽⠄⠗⠑⠀⠞⠗⠁⠊⠞⠕⠗⠎⠲
They're watching.	⠠⠮⠽⠄⠗⠑⠀⠺⠁⠞⠡⠊⠝⠛⠲
They've all left.	⠠⠮⠽⠄⠧⠑⠀⠁⠇⠇⠀⠇⠑⠋⠞⠲
Things got weird.	⠠⠹⠊⠝⠛⠎⠀⠛⠕⠞⠀⠺⠑⠊⠗⠙⠲
Things look good.	⠠⠹⠊⠝⠛⠎⠀⠇⠕⠕⠅⠀⠛⠕⠕⠙⠲
Things look good.	⠠⠹⠊⠝⠛⠎⠀⠇⠕⠕⠅⠀⠛⠕⠕⠙⠲
Think about that.	⠠⠹⠊⠝⠅⠀⠁⠃⠳⠞⠀⠹⠁⠞⠲
Think about that.	⠠⠹⠊⠝⠅⠀⠁⠃⠳⠞⠀⠹⠁⠞⠲
Think about that.	⠠⠹⠊⠝⠅⠀⠁⠃⠳⠞⠀⠹⠁⠞⠲
Think about this.	⠠⠹⠊⠝⠅⠀⠁⠃⠳⠞⠀⠹⠊⠎⠲
This and no more.	⠠⠹⠊⠎⠀⠯⠀⠝⠕⠀⠍⠕⠗⠑⠲
This book is new.	⠠⠹⠊⠎⠀⠃⠕⠕⠅⠀⠊⠎⠀⠝⠑⠺⠲
This book is old.	⠠⠹⠊⠎⠀⠃⠕⠕⠅⠀⠊⠎⠀⠕⠇⠙⠲
This book is old.	⠠⠹⠊⠎⠀⠃⠕⠕⠅⠀⠊⠎⠀⠕⠇⠙⠲
This boy is lazy.	⠠⠹⠊⠎⠀⠃⠕⠽⠀⠊⠎⠀⠇⠁⠵⠽⠲
This car is mine.	⠠⠹⠊⠎⠀⠉⠜⠀⠊⠎⠀⠍⠊⠝⠑⠲
This doesn't fit.	⠠⠹⠊⠎⠀⠙⠕⠑⠎⠝⠄⠞⠀⠋⠊⠞⠲
This doesn't fit.	⠠⠹⠊⠎⠀⠙⠕⠑⠎⠝⠄⠞⠀⠋⠊⠞⠲
This fish is big.	⠠⠹⠊⠎⠀⠋⠊⠩⠀⠊⠎⠀⠃⠊⠛⠲
This has to stop.	⠠⠹⠊⠎⠀⠓⠁⠎⠀⠞⠕⠀⠌⠕⠏⠲
This hat is mine.	⠠⠹⠊⠎⠀⠓⠁⠞⠀⠊⠎⠀⠍⠊⠝⠑⠲
This is Room 839.	⠠⠹⠊⠎⠀⠊⠎⠀⠠⠗⠕⠕⠍⠼⠀⠓⠉⠊⠲
This is a luxury.	⠠⠹⠊⠎⠀⠊⠎⠀⠁⠀⠇⠥⠭⠥⠗⠽⠲
This is a pencil.	⠠⠹⠊⠎⠀⠊⠎⠀⠁⠀⠏⠑⠝⠉⠊⠇⠲
This is an order.	⠠⠹⠊⠎⠀⠊⠎⠀⠁⠝⠀⠕⠗⠙⠻⠲
This is an order.	⠠⠹⠊⠎⠀⠊⠎⠀⠁⠝⠀⠕⠗⠙⠻⠲
This is big news.	⠠⠹⠊⠎⠀⠊⠎⠀⠃⠊⠛⠀⠝⠑⠺⠎⠲
This is exciting.	⠠⠹⠊⠎⠀⠊⠎⠀⠑⠭⠉⠊⠞⠊⠝⠛⠲
This is horrible.	⠠⠹⠊⠎⠀⠊⠎⠀⠓⠕⠗⠗⠊⠃⠇⠑⠲
This is my coach.	⠠⠹⠊⠎⠀⠊⠎⠀⠍⠽⠀⠉⠕⠁⠡⠲
This is my coach.	⠠⠹⠊⠎⠀⠊⠎⠀⠍⠽⠀⠉⠕⠁⠡⠲
This is my fault.	⠠⠹⠊⠎⠀⠊⠎⠀⠍⠽⠀⠋⠁⠥⠇⠞⠲
This is my horse.	⠠⠹⠊⠎⠀⠊⠎⠀⠍⠽⠀⠓⠕⠗⠎⠑⠲
This is my house.	⠠⠹⠊⠎⠀⠊⠎⠀⠍⠽⠀⠓⠳⠎⠑⠲
This is my phone.	⠠⠹⠊⠎⠀⠊⠎⠀⠍⠽⠀⠏⠓⠕⠝⠑⠲
This is my place.	⠠⠹⠊⠎⠀⠊⠎⠀⠍⠽⠀⠏⠇⠁⠉⠑⠲
This is my treat.	⠠⠹⠊⠎⠀⠊⠎⠀⠍⠽⠀⠞⠗⠑⠁⠞⠲
This is nonsense.	⠠⠹⠊⠎⠀⠊⠎⠀⠝⠕⠝⠎⠑⠝⠎⠑⠲
This is not fair.	⠠⠹⠊⠎⠀⠊⠎⠀⠝⠕⠞⠀⠋⠁⠊⠗⠲
This is not okay.	⠠⠹⠊⠎⠀⠊⠎⠀⠝⠕⠞⠀⠕⠅⠁⠽⠲
This is not safe.	⠠⠹⠊⠎⠀⠊⠎⠀⠝⠕⠞⠀⠎⠁⠋⠑⠲
This is not true.	⠠⠹⠊⠎⠀⠊⠎⠀⠝⠕⠞⠀⠞⠗⠥⠑⠲
This is not true.	⠠⠹⠊⠎⠀⠊⠎⠀⠝⠕⠞⠀⠞⠗⠥⠑⠲
This is our home.	⠠⠹⠊⠎⠀⠊⠎⠀⠳⠗⠀⠓⠕⠍⠑⠲
This is our home.	⠠⠹⠊⠎⠀⠊⠎⠀⠳⠗⠀⠓⠕⠍⠑⠲
This is our room.	⠠⠹⠊⠎⠀⠊⠎⠀⠳⠗⠀⠗⠕⠕⠍⠲
This is pathetic.	⠠⠹⠊⠎⠀⠊⠎⠀⠏⠁⠮⠞⠊⠉⠲
This is relaxing.	⠠⠹⠊⠎⠀⠊⠎⠀⠗⠑⠇⠁⠭⠊⠝⠛⠲
This is sabotage.	⠠⠹⠊⠎⠀⠊⠎⠀⠎⠁⠃⠕⠞⠁⠛⠑⠲
This is so crazy.	⠠⠹⠊⠎⠀⠊⠎⠀⠎⠕⠀⠉⠗⠁⠵⠽⠲
This is so weird.	⠠⠹⠊⠎⠀⠊⠎⠀⠎⠕⠀⠺⠑⠊⠗⠙⠲
This is terrible.	⠠⠹⠊⠎⠀⠊⠎⠀⠞⠻⠗⠊⠃⠇⠑⠲
This is the best.	⠠⠹⠊⠎⠀⠊⠎⠀⠮⠀⠃⠑⠌⠲
This is the norm.	⠠⠹⠊⠎⠀⠊⠎⠀⠮⠀⠝⠕⠗⠍⠲
This is too hard.	⠠⠹⠊⠎⠀⠊⠎⠀⠞⠕⠕⠀⠓⠜⠙⠲
This is too much.	⠠⠹⠊⠎⠀⠊⠎⠀⠞⠕⠕⠀⠍⠥⠡⠲
This is very bad.	⠠⠹⠊⠎⠀⠊⠎⠀⠧⠻⠽⠀⠃⠁⠙⠲
This is very bad.	⠠⠹⠊⠎⠀⠊⠎⠀⠧⠻⠽⠀⠃⠁⠙⠲
This is your dog.	⠠⠹⠊⠎⠀⠊⠎⠀⠽⠳⠗⠀⠙⠕⠛⠲
This is your dog.	⠠⠹⠊⠎⠀⠊⠎⠀⠽⠳⠗⠀⠙⠕⠛⠲
This is your key.	⠠⠹⠊⠎⠀⠊⠎⠀⠽⠳⠗⠀⠅⠑⠽⠲
This is your key.	⠠⠹⠊⠎⠀⠊⠎⠀⠽⠳⠗⠀⠅⠑⠽⠲
This isn't funny.	⠠⠹⠊⠎⠀⠊⠎⠝⠄⠞⠀⠋⠥⠝⠝⠽⠲
This isn't money.	⠠⠹⠊⠎⠀⠊⠎⠝⠄⠞⠀⠍⠕⠝⠑⠽⠲
This isn't sugar.	⠠⠹⠊⠎⠀⠊⠎⠝⠄⠞⠀⠎⠥⠛⠜⠲
This isn't yours.	⠠⠹⠊⠎⠀⠊⠎⠝⠄⠞⠀⠽⠳⠗⠎⠲
This isn't yours.	⠠⠹⠊⠎⠀⠊⠎⠝⠄⠞⠀⠽⠳⠗⠎⠲
This looks great.	⠠⠹⠊⠎⠀⠇⠕⠕⠅⠎⠀⠛⠗⠑⠁⠞⠲
This looks great.	⠠⠹⠊⠎⠀⠇⠕⠕⠅⠎⠀⠛⠗⠑⠁⠞⠲
This man is dead.	⠠⠹⠊⠎⠀⠍⠁⠝⠀⠊⠎⠀⠙⠑⠁⠙⠲
This one is full.	⠠⠹⠊⠎⠀⠕⠝⠑⠀⠊⠎⠀⠋⠥⠇⠇⠲
This one's Tom's.	⠠⠹⠊⠎⠀⠕⠝⠑⠄⠎⠀⠠⠞⠕⠍⠄⠎⠲
This one's empty.	⠠⠹⠊⠎⠀⠕⠝⠑⠄⠎⠀⠑⠍⠏⠞⠽⠲
This one's yours.	⠠⠹⠊⠎⠀⠕⠝⠑⠄⠎⠀⠽⠳⠗⠎⠲
This room is hot.	⠠⠹⠊⠎⠀⠗⠕⠕⠍⠀⠊⠎⠀⠓⠕⠞⠲
This seems risky.	⠠⠹⠊⠎⠀⠎⠑⠑⠍⠎⠀⠗⠊⠎⠅⠽⠲
This seems wrong.	⠠⠹⠊⠎⠀⠎⠑⠑⠍⠎⠀⠺⠗⠕⠝⠛⠲
This tastes good.	⠠⠹⠊⠎⠀⠞⠁⠌⠑⠎⠀⠛⠕⠕⠙⠲
This tastes good.	⠠⠹⠊⠎⠀⠞⠁⠌⠑⠎⠀⠛⠕⠕⠙⠲
This time we won.	⠠⠹⠊⠎⠀⠞⠊⠍⠑⠀⠺⠑⠀⠺⠕⠝⠲
This was missing.	⠠⠹⠊⠎⠀⠺⠁⠎⠀⠍⠊⠎⠎⠊⠝⠛⠲
This way, please.	⠠⠹⠊⠎⠀⠺⠁⠽⠂⠀⠏⠇⠑⠁⠎⠑⠲
This way, please.	⠠⠹⠊⠎⠀⠺⠁⠽⠂⠀⠏⠇⠑⠁⠎⠑⠲
This will be fun.	⠠⠹⠊⠎⠀⠺⠊⠇⠇⠀⠃⠑⠀⠋⠥⠝⠲
Those are my CDs.	⠠⠹⠕⠎⠑⠀⠜⠑⠀⠍⠽⠀⠠⠠⠉⠙⠠⠄⠎⠲
Tom abandoned me.	⠠⠞⠕⠍⠀⠁⠃⠯⠕⠝⠫⠀⠍⠑⠲
Tom admired Mary.	⠠⠞⠕⠍⠀⠁⠙⠍⠊⠗⠫⠀⠠⠍⠜⠽⠲
Tom admires Mary.	⠠⠞⠕⠍⠀⠁⠙⠍⠊⠗⠑⠎⠀⠠⠍⠜⠽⠲
Tom almost cried.	⠠⠞⠕⠍⠀⠁⠇⠍⠕⠌⠀⠉⠗⠊⠫⠲
Tom always loses.	⠠⠞⠕⠍⠀⠁⠇⠺⠁⠽⠎⠀⠇⠕⠎⠑⠎⠲
Tom arrived last.	⠠⠞⠕⠍⠀⠜⠗⠊⠧⠫⠀⠇⠁⠌⠲
Tom arrived late.	⠠⠞⠕⠍⠀⠜⠗⠊⠧⠫⠀⠇⠁⠞⠑⠲
Tom ate his fill.	⠠⠞⠕⠍⠀⠁⠞⠑⠀⠓⠊⠎⠀⠋⠊⠇⠇⠲
Tom ate my lunch.	⠠⠞⠕⠍⠀⠁⠞⠑⠀⠍⠽⠀⠇⠥⠝⠡⠲
Tom avoided Mary.	⠠⠞⠕⠍⠀⠁⠧⠕⠊⠙⠫⠀⠠⠍⠜⠽⠲
Tom babysat Mary.	⠠⠞⠕⠍⠀⠃⠁⠃⠽⠎⠁⠞⠀⠠⠍⠜⠽⠲
Tom beat Mary up.	⠠⠞⠕⠍⠀⠃⠑⠁⠞⠀⠠⠍⠜⠽⠀⠥⠏⠲
Tom beat up Mary.	⠠⠞⠕⠍⠀⠃⠑⠁⠞⠀⠥⠏⠀⠠⠍⠜⠽⠲
Tom became blind.	⠠⠞⠕⠍⠀⠃⠑⠉⠁⠍⠑⠀⠃⠇⠊⠝⠙⠲
Tom began to cry.	⠠⠞⠕⠍⠀⠃⠑⠛⠁⠝⠀⠞⠕⠀⠉⠗⠽⠲
Tom began to eat.	⠠⠞⠕⠍⠀⠃⠑⠛⠁⠝⠀⠞⠕⠀⠑⠁⠞⠲
Tom belongs here.	⠠⠞⠕⠍⠀⠃⠑⠇⠕⠝⠛⠎⠀⠓⠻⠑⠲
Tom belongs here.	⠠⠞⠕⠍⠀⠃⠑⠇⠕⠝⠛⠎⠀⠓⠻⠑⠲
Tom betrayed you.	⠠⠞⠕⠍⠀⠃⠑⠞⠗⠁⠽⠫⠀⠽⠳⠲
Tom brought this.	⠠⠞⠕⠍⠀⠃⠗⠳⠣⠞⠀⠹⠊⠎⠲
Tom came with me.	⠠⠞⠕⠍⠀⠉⠁⠍⠑⠀⠾⠀⠍⠑⠲
Tom came with me.	⠠⠞⠕⠍⠀⠉⠁⠍⠑⠀⠾⠀⠍⠑⠲
Tom can hear you.	⠠⠞⠕⠍⠀⠉⠁⠝⠀⠓⠑⠜⠀⠽⠳⠲
Tom can hear you.	⠠⠞⠕⠍⠀⠉⠁⠝⠀⠓⠑⠜⠀⠽⠳⠲
Tom can run fast.	⠠⠞⠕⠍⠀⠉⠁⠝⠀⠗⠥⠝⠀⠋⠁⠌⠲
Tom can't decide.	⠠⠞⠕⠍⠀⠉⠁⠝⠄⠞⠀⠙⠑⠉⠊⠙⠑⠲
Tom can't refuse.	⠠⠞⠕⠍⠀⠉⠁⠝⠄⠞⠀⠗⠑⠋⠥⠎⠑⠲
Tom can't say no.	⠠⠞⠕⠍⠀⠉⠁⠝⠄⠞⠀⠎⠁⠽⠀⠝⠕⠲
Tom can't see us.	⠠⠞⠕⠍⠀⠉⠁⠝⠄⠞⠀⠎⠑⠑⠀⠥⠎⠲
Tom cannot drive.	⠠⠞⠕⠍⠀⠉⠁⠝⠝⠕⠞⠀⠙⠗⠊⠧⠑⠲
Tom cheated Mary.	⠠⠞⠕⠍⠀⠡⠑⠁⠞⠫⠀⠠⠍⠜⠽⠲
Tom convinced me.	⠠⠞⠕⠍⠀⠉⠕⠝⠧⠊⠝⠉⠫⠀⠍⠑⠲
Tom cooks for us.	⠠⠞⠕⠍⠀⠉⠕⠕⠅⠎⠀⠿⠀⠥⠎⠲
Tom cut Mary off.	⠠⠞⠕⠍⠀⠉⠥⠞⠀⠠⠍⠜⠽⠀⠷⠋⠲
Tom detests Mary.	⠠⠞⠕⠍⠀⠙⠑⠞⠑⠌⠎⠀⠠⠍⠜⠽⠲
Tom did have fun.	⠠⠞⠕⠍⠀⠙⠊⠙⠀⠓⠁⠧⠑⠀⠋⠥⠝⠲
Tom did have fun.	⠠⠞⠕⠍⠀⠙⠊⠙⠀⠓⠁⠧⠑⠀⠋⠥⠝⠲
Tom did his part.	⠠⠞⠕⠍⠀⠙⠊⠙⠀⠓⠊⠎⠀⠏⠜⠞⠲
Tom didn't budge.	⠠⠞⠕⠍⠀⠙⠊⠙⠝⠄⠞⠀⠃⠥⠙⠛⠑⠲
Tom didn't do it.	⠠⠞⠕⠍⠀⠙⠊⠙⠝⠄⠞⠀⠙⠕⠀⠊⠞⠲
Tom didn't drown.	⠠⠞⠕⠍⠀⠙⠊⠙⠝⠄⠞⠀⠙⠗⠪⠝⠲
